# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0.25847024      	-9.15805127e-05	9.13906844e-02	7.05911661e-03	3.43797779e-03	3.62113882e-03
0.26119213      	-9.40070574e-05	8.14405089e-02	2.50893671e-03	1.16046130e-03	1.34847541e-03
0.26391246      	-9.46790075e-05	8.59059072e-02	6.94996564e-03	3.38030381e-03	3.56966183e-03
0.26663278      	-9.42019990e-05	9.07932439e-02	-1.70334506e-03	-9.45874528e-04	-7.57470530e-04
0.26935467      	-9.49911641e-05	8.94115191e-02	3.98509720e-03	1.89755744e-03	2.08753976e-03
0.2720797       	-8.86670416e-05	6.88265389e-02	3.52036298e-02	1.75131479e-02	1.76904819e-02
0.27480787      	-9.06064965e-05	8.67069062e-02	7.05446367e-03	3.43662534e-03	3.61783833e-03
0.2775392       	-9.37841949e-05	8.62406551e-02	8.91293401e-03	4.36268281e-03	4.55025120e-03
0.2802721       	-9.47810236e-05	8.14411220e-02	1.57746644e-02	7.79255116e-03	7.98211321e-03
0.28300501      	-9.53826706e-05	8.53960732e-02	1.57310880e-02	7.77016135e-03	7.96092669e-03
0.28573791      	-9.54910104e-05	8.42630451e-02	4.88132866e-04	1.48575422e-04	3.39557443e-04
0.28846924      	-9.54644717e-05	8.14467368e-02	-4.62380825e-03	-2.40736860e-03	-2.21643965e-03
0.29119898      	-8.89282142e-05	7.59396281e-02	7.96798122e-03	3.89506240e-03	4.07291883e-03
0.29392871      	-9.02970738e-05	9.02716748e-02	4.03121453e-03	1.92531019e-03	2.10590434e-03
0.29666004      	-9.54275139e-05	9.14736064e-02	1.41459907e-02	6.97756783e-03	7.16842286e-03
0.29938978      	-1.01219615e-04	8.65201058e-02	1.54181279e-02	7.60784434e-03	7.81028357e-03
0.30212587      	-1.05514603e-04	9.15877858e-02	2.14443529e-02	1.06166618e-02	1.08276911e-02
0.30486356      	-1.08012378e-04	9.24579703e-02	1.88906529e-02	9.33731409e-03	9.55333885e-03
0.30760125      	-1.04831198e-04	8.61244840e-02	4.50121113e-03	2.14577437e-03	2.35543676e-03
0.31033894      	-9.17900617e-05	8.90093226e-02	6.54887481e-03	3.18264734e-03	3.36622746e-03
0.31307344      	-9.03450268e-05	9.95176875e-02	-9.41217601e-03	-4.79643303e-03	-4.61574298e-03
0.31580634      	-9.27824499e-05	9.10181390e-02	6.88322871e-03	3.34883191e-03	3.53439681e-03
0.31854083      	-9.64393814e-05	9.35710621e-02	1.88432735e-03	8.45724293e-04	1.03860306e-03
0.32127853      	-1.02136375e-04	9.97686518e-02	-6.94014560e-03	-3.57220918e-03	-3.36793643e-03
0.32401783      	-1.06695188e-04	9.47910055e-02	7.65251845e-03	3.71956404e-03	3.93295441e-03
0.32676034      	-1.09558468e-04	9.89592512e-02	1.89455603e-02	9.36322168e-03	9.58233862e-03
0.32950446      	-1.08011500e-04	9.36763884e-02	8.47122968e-03	4.12760334e-03	4.34362634e-03
0.3322502       	-9.80591584e-05	9.41540860e-02	2.27570455e-02	1.12804636e-02	1.14765819e-02
0.33499755      	-9.73526648e-05	1.00760947e-01	4.50359837e-03	2.15444652e-03	2.34915185e-03
0.3377449       	-9.86054035e-05	9.34017618e-02	-1.18753167e-02	-6.03626376e-03	-5.83905295e-03
0.34049387      	-1.01182382e-04	9.21005244e-02	-1.08545360e-03	-6.43909182e-04	-4.41544418e-04
0.34324284      	-1.03936913e-04	9.14326679e-02	4.37868536e-03	2.08540577e-03	2.29327960e-03
0.34599181      	-1.05830054e-04	9.14317896e-02	1.41193624e-02	6.95385117e-03	7.16551127e-03
0.34874078      	-1.05240509e-04	9.37722706e-02	4.12628735e-03	1.95790317e-03	2.16838419e-03
0.35148975      	-1.02212051e-04	9.92128143e-02	-2.07269003e-03	-1.13855707e-03	-9.34132964e-04
0.35423873      	-9.26460898e-05	8.91992084e-02	2.06374666e-02	1.02260872e-02	1.04113794e-02
0.3569877       	-9.12709330e-05	9.87925830e-02	-5.84913553e-04	-3.83727710e-04	-2.01185844e-04
0.3597383       	-9.27457128e-05	1.02829231e-01	-8.97664658e-03	-4.58106900e-03	-4.39557758e-03
0.3624889       	-9.47362191e-05	9.71506990e-02	2.85353427e-03	1.33203092e-03	1.52150335e-03
0.36524113      	-9.70327826e-05	9.11217436e-02	2.36401880e-03	1.08497662e-03	1.27904218e-03
0.367995        	-9.59510622e-05	9.57422975e-02	7.49428616e-03	3.65119202e-03	3.84309414e-03
0.3707505       	-9.81210740e-05	9.65183424e-02	1.34640807e-02	6.63391929e-03	6.83016144e-03
0.37350601      	-9.95345915e-05	8.85300326e-02	8.74977670e-03	4.27535376e-03	4.47442294e-03
0.37626316      	-1.00170092e-04	1.02444380e-01	1.99163704e-02	9.85801509e-03	1.00583553e-02
0.37902195      	-9.99732751e-05	1.01118950e-01	4.55531647e-03	2.17768496e-03	2.37763151e-03
0.38178239      	-9.90255894e-05	1.07209075e-01	7.27176254e-03	3.53685568e-03	3.73490686e-03
0.38454283      	-9.70983025e-05	1.04542250e-01	3.20604762e-03	1.50592551e-03	1.70012211e-03
0.38730492      	-9.50539088e-05	1.00307142e-01	-7.63517933e-03	-3.91264358e-03	-3.72253576e-03
0.39006702      	-9.46704037e-05	1.02346610e-01	-6.75323736e-03	-3.47128908e-03	-3.28194828e-03
0.39282911      	-9.68041787e-05	1.04707240e-01	8.17262092e-03	3.98950628e-03	4.18311464e-03
0.39559286      	-9.90139196e-05	1.04145286e-01	7.62445216e-03	3.71321216e-03	3.91124000e-03
0.39835661      	-1.00819328e-04	1.07355960e-01	2.01677312e-02	9.98304625e-03	1.01846849e-02
0.40112202      	-1.03035704e-04	1.07617352e-01	2.62158423e-02	1.30048854e-02	1.32109568e-02
0.40388909      	-1.03800723e-04	1.06575989e-01	1.02298980e-02	5.01114827e-03	5.21874972e-03
0.40665783      	-1.03206875e-04	1.12399419e-01	3.63773675e-03	1.71566150e-03	1.92207525e-03
0.40942491      	-1.02527473e-04	1.11370958e-01	2.65782922e-03	1.22638714e-03	1.43144208e-03
0.41219365      	-1.01876850e-04	1.10405980e-01	-4.60817296e-03	-2.40596333e-03	-2.20220963e-03
0.41496407      	-1.00167183e-04	1.12632889e-01	2.53244395e-03	1.16605479e-03	1.36638916e-03
0.41773114      	-1.01330363e-04	1.06014143e-01	1.15977677e-02	5.69755348e-03	5.90021420e-03
0.42050155      	-1.03743226e-04	1.13192198e-01	6.42568639e-03	3.10909997e-03	3.31658642e-03
0.42327701      	-1.07296440e-04	1.15925265e-01	8.29942044e-03	4.04241378e-03	4.25700666e-03
0.42605414      	-1.05593775e-04	1.21205043e-01	3.40060696e-02	1.68974410e-02	1.71086286e-02
0.4288212       	-1.08226697e-04	1.20258772e-01	1.98557283e-02	9.81963743e-03	1.00360908e-02
0.43159329      	-1.10451567e-04	1.21630392e-01	8.08970566e-03	3.93440126e-03	4.15530440e-03
0.43437213      	-1.10648956e-04	1.17569719e-01	1.04684776e-02	5.12358983e-03	5.34488774e-03
0.43715096      	-1.10740382e-04	1.19575216e-01	1.38908502e-02	6.83468471e-03	7.05616548e-03
0.4399298       	-1.11207613e-04	1.17972349e-01	2.79580619e-03	1.28669548e-03	1.50911071e-03
0.44270864      	-1.12086737e-04	1.22786095e-01	4.48932371e-03	2.13257512e-03	2.35674859e-03
0.44548917      	-1.12090229e-04	1.20984107e-01	3.38110874e-03	1.57846414e-03	1.80264460e-03
0.4482697       	-1.14185536e-04	1.20487110e-01	9.13185743e-03	4.45174318e-03	4.68011425e-03
0.45105023      	-1.16682894e-04	1.22302555e-01	8.43118592e-03	4.09891006e-03	4.33227585e-03
0.45382907      	-1.18995575e-04	1.22829878e-01	1.77904017e-02	8.77620528e-03	9.01419643e-03
0.4566079       	-1.20293364e-04	1.31784915e-01	2.99202737e-02	1.48398435e-02	1.50804302e-02
0.45938673      	-1.20594896e-04	1.26448945e-01	1.75202783e-02	8.63954424e-03	8.88073403e-03
0.46216386      	-1.19593608e-04	1.29307290e-01	1.04208890e-02	5.09085089e-03	5.33003810e-03
0.464941        	-1.18404299e-04	1.29396749e-01	1.28781725e-02	6.32068196e-03	6.55749056e-03
0.46771813      	-1.17130134e-04	1.28722559e-01	4.76935306e-03	2.26754640e-03	2.50180666e-03
0.47049527      	-1.16769514e-04	1.30054367e-01	9.19785704e-03	4.48215901e-03	4.71569803e-03
0.4732724       	-1.18890229e-04	1.29231720e-01	2.04259662e-02	1.00940928e-02	1.03318733e-02
